Date,Grade,Caliper,Width,Tons,Plant
29-Sep-15,CRB,.016,25.750,0.652955625,Hamel
20-Jul-15,CRB,.016,25.750,0.635465742,Hamel
22-Sep-15,CRB,.016,25.750,0.649068984,Hamel
18-Jul-15,CRB,.016,25.750,0.268178203,Hamel
29-Sep-15,CRB,.016,25.750,0.654898945,Hamel
18-Jul-15,CRB,.016,25.750,0.635465742,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
04-Nov-15,CRB,.016,25.750,0.461732906,Hamel
04-Nov-15,CRB,.016,25.750,0.651983965,Hamel
29-Sep-15,CRB,.016,25.750,0.658785586,Hamel
18-Jul-15,CRB,.016,25.750,0.639352383,Hamel
20-Jul-15,CRB,.016,25.750,0.569392852,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
22-Sep-15,CRB,.016,25.750,0.647125664,Hamel
23-Nov-15,CRB,.016,25.750,0.654898945,Hamel
16-Nov-15,CRB,.016,25.750,0.652955625,Hamel
18-Jul-15,CRB,.016,25.750,0.633522422,Hamel
23-Nov-15,CRB,.016,25.750,0.651012305,Hamel
23-Nov-15,CRB,.016,25.750,0.651012305,Hamel
18-Jul-15,CRB,.016,25.750,0.656842266,Hamel
18-Jul-15,CRB,.016,25.750,0.277894805,Hamel
04-Nov-15,CRB,.016,25.750,0.631579102,Hamel
23-Nov-15,CRB,.016,25.750,0.651012305,Hamel
18-Jul-15,CRB,.016,25.750,0.631579102,Hamel
10-Sep-15,CRB,.016,25.750,0.652955625,Hamel
14-Dec-15,CRB,.016,25.750,0.612145898,Hamel
14-Dec-15,CRB,.016,25.750,0.625749141,Hamel
14-Dec-15,CRB,.016,25.750,0.633522422,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
10-Oct-15,CRB,.016,25.750,0.656842266,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
16-Nov-15,CRB,.016,25.750,0.668502188,Hamel
16-Nov-15,CRB,.016,25.750,0.649068984,Hamel
21-Aug-15,CRB,.016,25.750,0.651012305,Hamel
18-Jul-15,CRB,.016,25.750,0.635465742,Hamel
14-Dec-15,CRB,.016,25.750,0.62380582,Hamel
18-Jul-15,CRB,.016,25.750,0.633522422,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
24-Aug-15,CRB,.016,25.750,0.652955625,Hamel
20-Jul-15,CRB,.016,25.750,0.569392852,Hamel
18-Jul-15,CRB,.016,25.750,0.641295703,Hamel
19-Oct-15,CRB,.016,25.750,0.637409063,Hamel
19-Oct-15,CRB,.016,25.750,0.635465742,Hamel
19-Oct-15,CRB,.016,25.750,0.639352383,Hamel
14-Dec-15,CRB,.016,25.750,0.631579102,Hamel
18-Jul-15,CRB,.016,25.750,0.647125664,Hamel
22-Oct-15,CRB,.016,27.125,1.401964102,Hamel
22-Oct-15,CRB,.016,27.125,0.790469121,Hamel
22-Oct-15,CRB,.016,27.125,0.790469121,Hamel
17-Mar-15,CRB,.016,28.750,0.80992793,Hamel
