Date,Grade,Caliper,Width,Tons,Plant,Mill
8/6/2015,NB,28-1,43.625,7.472,"GPI-TUSCALOOSA,AL",Kalamazoo
8/6/2015,NB,28-1,57.75,9.785,"GPI-TUSCALOOSA,AL",Kalamazoo
8/6/2015,NB,28-1,59.5,3.346,"GPI-PACIFIC,MO",Kalamazoo
8/6/2015,NB SIZE,16-0,33.3125,3.9145,"GPI-STONE MOUNTAIN,GA",Battle Creek
8/7/2015,NB,16-0,25.25,17.773,"GPI-MITCHELL,SD",Battle Creek
8/7/2015,NB,18-0,18.4375,2.1525,"GPI-IRVINE,CA",Santa Clara
8/7/2015,NB,18-0,24.375,11.275,"GPI-IRVINE,CA",Santa Clara
8/7/2015,NB,18-0,30,90.3475,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,18-0,35.25,8.125,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,18-0,35.5,25.0665,"GPI-ELK GROVE VILLAGE,IL",Battle Creek
8/7/2015,NB,18-0,38.25,77.825,"GPI-IRVINE,CA",Santa Clara
8/7/2015,NB,18-0,39.625,241.404,"GPI-CENTRALIA,IL",Kalamazoo
8/7/2015,NB,18-0,39.625,2.3215,"GPI-MITCHELL,SD",Kalamazoo
8/7/2015,NB,18-0,40.9375,9.436,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,18-0,42.25,7.251,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,20-1,28.3125,16.085,"GPI-VANCOUVER,WA",Santa Clara
8/7/2015,NB,20-0,28.375,15.711,"GPI-KENDALLVILLE,IN",Middletown
8/7/2015,NB,20-0,29.3125,172.5,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,20-0,29.5,23.1595,"GPI-KENDALLVILLE,IN",Middletown
8/7/2015,NB,20-0,29.75,88.258,"GPI-KENDALLVILLE,IN",Kalamazoo
8/7/2015,NB,20-1,30.125,5.69,"GPI-VANCOUVER,WA",Santa Clara
8/7/2015,NB,20-0,30.3125,60.5105,"GPI-KENDALLVILLE,IN",Kalamazoo
8/7/2015,NB,20-0,30.75,19.534,"GPI-CAROL STREAM,IL",Kalamazoo
8/7/2015,NB,20-0,30.75,53.9115,"GPI-KENDALLVILLE,IN",Kalamazoo
8/7/2015,NB,20-0,31.8125,38.3005,"GPI-KENDALLVILLE,IN",Kalamazoo
8/7/2015,NB,20-0,39,83.359,"GPI-PACIFIC,MO",Middletown
8/7/2015,NB,20-0,40.3125,16.1605,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,20-0,40.3125,93.202,"GPI-PACIFIC,MO",Middletown
8/7/2015,NB,20-0,41.0625,65.336,"GPI-KALAMAZOO,MI",Kalamazoo
8/7/2015,NB,20-0,42,57.755,"GPI-KALAMAZOO,MI",Kalamazoo
